Confidence Level,Overcome Obstacles,Obstacle Summary,Obstacle Key Words,Questions Preventing Action,Question Summary,Question Category,Comments,Comment Summary,Feedback Type,Category,Key compliment,Key Sugguestion,Key Question/Reflection,Question Field
7,/,,,I don't have particular questions. I just feel like I need more information to invest in stocks and bonds ,,,/,/,/,/,/,/,/,/
10,"Always good to know more information. Thanks, Dan! ",/,/G/,I lowkey don't know when/where to start. Do I start now or after grad when I get money?,,financial planning,/,/,/,/,/,/,/,/
8,it helped me think through my risk tolerance and understand more terminology,Provided with more financial information,financial terminology,I need to think about the time scale of my goals ,,financial planning,/,/,/,/,/,/,/,/
8,I'm really appreciating this series I feel like it hard to find trusted info about this subject in order to start thinking about investing ,Appreciated speaker's effort and enthusiasm in financial talks,investment,/,,,/,/,/,/,/,/,/,/
10,I learned more about costs and risks when it comes to making financial decisions - it depends on circumstances ,Understanding early investing and saving benefits,financial planning,/,,,/,/,/,/,/,/,/,/
8,/,,,/,,,/,/,/,/,/,/,/,/
7,it helped me learn a lot more about risks ,Awareness of risks in holding money without investing,risks,more specific research tactics ~ where to go to research companies and how to assess if it's worth the risk for you ,,risk assessment,/,/,/,/,/,/,/,/
9,I was feeling uncertain and confused about getting started and making the distinction between a traditional and roth IRA. However today I learned the distinction between the two. ,Uncertainty and confusion about starting and differentiating between traditional and Roth IRAs; now understand the distinction.,IRA,I am now curious about how to choose funds/ investment instruments for the retirement fund to build money over time ,,"investment, retirement",/,/,/,/,/,/,/,/
10,Gave me more info,/,/G/,/,,,,,,,,,,
10,"daniel has been super awesome and has done a great job with these talks I enjoy learning and dont feel bad for not knowing, I love it!",/,/G/,,,,,,,,,,,
10,Understanding that investing/saving early will yeild a lot of money ,Understanding the benefits of early investing and saving.,investment,,,,"""the best time to plant a tree is 20 years ago. the second best time is now.""",Positive reflection on the timing of starting financial actions.,Positive,Content,Helpful,,,
10,,,,,,,,,,,,,,
,,,,,,,"The ideas and concepts are too basic, wishing that there could be more advanced content!",Suggests desire for more advanced content.,Suggestive,Content,,Desire for more advanced content,,
8,Saving without doing anything with the money is risky,Awareness of risks in leaving money idle without investment.,"investment, risk",/,,,/,/,/,/,/,/,/,/
